Probe ID	Stigma_control-1	Stigma_control-2	Stigma_control-3	Ovary_control-1	Ovary_control-2	Ovary_control-3	Pollinating_stigma-1	Pollinating_stigma-2	Pollinating_ovary-1	Pollinating_ovary-2	Pollinating_ovary-3	Pollen_tube_growth-1	Pollen_tube_growth-2	Pollen_tube_growth-3	Fertilization-1	Fertilization-2	Fertilization-3	Zygote_formation-1	Zygote_formation-2	Zygote_formation-3	null	Probe ID	Stigma_control-1	Stigma_control-2	Stigma_control-3	Ovary_control-1	Ovary_control-2	Ovary_control-3	Pollinating_stigma-1	Pollinating_stigma-2	Pollinating_ovary-1	Pollinating_ovary-2	Pollinating_ovary-3	Pollen_tube_growth-1	Pollen_tube_growth-2	Pollen_tube_growth-3	Fertilization-1	Fertilization-2	Fertilization-3	Zygote_formation-1	Zygote_formation-2	Zygote_formation-3	null
AFFX-Os-r2-P1-cre-3_s_at	16.2441	16.1379	16.5118	15.5489	16.4607	16.0308	16.1767	16.572	16.3551	16.0292	16.2552	15.3793	16.1891	16.0178	15.8561	15.7123	16.154	15.6368	15.9182	15.7411		
AFFX-Os-r2-P1-cre-5_s_at	16.1791	16.3014	16.6006	15.4985	16.5337	16.013	16.1172	16.5985	16.3584	16.1148	16.3124	15.4266	16.2315	16.0403	15.8377	15.8245	16.1496	15.5488	15.9576	15.6679		
AFFX-Os-TrpnX-3_at	0.6461	1.1642	3.1148	0.63	4.6873	0.7628	3.2241	1.3811	3.9792	1.2092	0.0182	3.4598	1.6354	2.6899	0.1681	0.1864	4.0538	4.6836	1.0091	1.0765		
AFFX-Os-TrpnX-5_at	0.8085	5.4094	2.0868	1.9742	3.8744	2.2403	5.1811	5.7803	2.7397	0.7608	2.0148	2.3683	1.7019	2.9526	4.0818	3.0026	2.9726	2.8265	3.7826	2.0357		
AFFX-Os-TrpnX-M_at	5.589	3.9476	4.6161	4.2317	4.5272	4.6426	5.1219	5.5537	0.0233	5.0549	5.7966	3.5763	5.2919	4.9677	5.5116	2.7271	5.2255	4.5578	3.8452	1.3709		
AFFX-Os_18SrRNA_at	6.7444	12.8026	11.8918	6.3101	10.811	7.0373	7.0788	13.3848	8.1454	13.4298	8.369	7.0366	11.4111	7.1017	7.4076	11.9852	13.2937	3.3924	12.4981	12.8456		
AFFX-Os_28SrRNA_at	8.293	12.8289	11.895	8.6908	11.9777	8.9205	8.4888	13.3041	9.3493	13.471	9.9458	8.4879	12.565	7.9969	8.904	11.9557	13.2276	7.0138	12.8444	12.9926		
AFFX-Os_Actin_3_at	14.3232	13.8488	13.7014	13.4098	13.6346	13.7255	13.8926	13.8345	13.4359	13.3777	13.2958	13.2932	13.5083	13.5288	13.5184	13.8529	13.3649	14.1371	14.1429	13.9196		
AFFX-Os_Actin_5_f_at	11.4087	10.9783	9.7704	12.0288	11.0958	12.0827	10.7548	10.4363	11.1145	11.4076	11.6321	11.4025	10.5201	11.5148	11.1279	10.9887	11.0874	12.4947	11.9599	11.7753		
AFFX-Os_Actin_M_s_at	12.1551	11.8326	11.6108	11.9926	11.7118	12.1614	11.6426	11.369	11.4764	11.8061	12.06	11.6847	11.5609	11.771	11.4278	11.7875	11.7228	12.647	12.5206	12.4198		
AFFX-Os_Cyph_3_at	9.6075	9.5123	9.8546	11.1551	10.2603	10.1794	8.8822	8.4932	9.9198	10.1294	10.1158	9.8727	10.2102	9.6544	10.1538	10.484	9.9335	11.6166	11.4277	11.4495		
AFFX-Os_Cyph_5_at	7.2901	7.7849	7.4453	9.3828	8.821	9.1975	6.8474	7.4433	7.9586	8.3371	8.8191	8.2624	8.6806	8.8176	8.1151	9.1363	8.6079	10.0222	9.5913	9.5689		
AFFX-Os_Cyph_M_at	8.83	9.4285	9.4873	10.5704	10.1877	10.1749	8.4303	7.9247	9.3571	9.6835	9.7838	9.4106	9.8227	9.4791	9.3492	10.0655	9.5536	11.4476	11.2207	11.1389		
AFFX-Os_Gapdh_3_at	14.9203	14.3585	14.2824	13.6695	14.0266	14.1327	14.3727	14.0454	14.2306	14.1222	13.9748	13.871	14.0996	14.1365	14.1094	14.1028	13.9659	13.8141	13.6821	13.745		
AFFX-Os_Gapdh_5_at	11.7549	10.396	9.5011	10.9503	10.7986	11.7544	10.4703	10.5801	10.4133	10.6897	11.0887	10.8856	11.0364	10.7775	10.2135	10.4071	10.5244	10.7164	10.4004	10.0216		
AFFX-Os_Gapdh_M_at	13.4066	12.878	12.4272	12.3854	12.5898	13.0817	12.6802	12.2619	12.5871	12.7776	12.9371	12.6558	12.8	12.7868	12.3674	12.6138	12.6407	12.4852	12.2368	12.0457		
AFFX-Os_Ubiquitin_3_s_at	15.3451	15.1525	15.389	14.5771	14.966	14.528	15.1993	15.5037	15.0381	14.9607	14.8911	14.5088	15.1142	15.0125	14.8748	14.9297	14.9024	14.7301	14.8516	14.6314		
AFFX-Os_Ubiquitin_5_f_at	15.4346	15.191	14.909	15.2295	15.3768	15.5237	15.3469	15.7348	15.492	15.4279	15.7421	15.0766	15.7101	15.5359	15.2287	15.2367	15.5455	15.2805	15.3653	15.0714		
AFFX-Os_Ubiquitin_M_f_at	15.371	15.0599	14.918	15.1173	15.397	15.467	15.2609	15.681	15.3515	15.4223	15.6825	14.9854	15.6579	15.5019	15.1243	15.2073	15.4798	15.2401	15.2907	14.9863		
AFFX-PheX-3_at	9.2754	9.2541	8.7572	8.1631	8.9775	8.0894	8.9768	9.6495	8.2291	8.6365	7.9944	8.0241	8.5959	8.4772	8.7426	8.0798	8.1147	7.7227	7.8633	8.1068		
AFFX-PheX-5_at	8.508	8.5434	6.6396	7.3243	8.3276	7.8608	8.0057	9.0046	7.6298	7.9278	7.7458	7.3981	8.2275	7.8157	7.8245	7.3608	7.3451	7.0321	7.1406	7.4489		
AFFX-PheX-M_at	8.7184	8.6158	7.1401	7.978	8.7104	8.0659	8.9429	9.2038	7.9408	8.2783	7.4644	7.5084	7.8721	7.9881	8.3408	7.4103	7.4935	7.62	7.3438	6.9624		
AFFX-r2-Bs-dap-3_at	12.6906	12.412	11.9227	11.8336	12.1882	11.7301	12.6454	13.0369	11.8871	11.953	11.154	11.398	12.0793	11.999	12.1826	11.6771	11.7074	11.7306	11.2209	11.3633		
AFFX-r2-Bs-dap-5_at	10.8813	10.5494	7.9171	9.9876	10.939	10.0803	10.5927	11.5143	10.3054	10.4279	9.9	9.6417	10.6287	10.1855	10.3766	9.1138	9.4766	9.4785	9.2199	9.0076		
AFFX-r2-Bs-dap-M_at	11.6584	11.4908	10.4585	10.8313	11.597	11.0068	11.6019	12.2453	10.9916	11.1005	10.6245	10.6042	11.1629	11.0979	11.2344	10.5872	10.7164	10.4942	10.2941	10.4901		
AFFX-r2-Bs-lys-3_at	8.7208	8.6394	8.4843	8.2321	8.545	8.1891	8.6824	9.5957	8.5062	8.339	7.9551	7.9508	8.2844	8.2077	8.2629	7.993	7.8905	7.7014	7.9432	7.5071		
AFFX-r2-Bs-lys-5_at	7.7941	7.7608	6.8668	6.751	8.1793	7.5774	7.6331	8.3412	7.4003	7.7362	6.9205	6.9118	7.4241	7.5291	7.4856	6.7047	7.5454	6.5511	6.8728	7.2364		
AFFX-r2-Bs-lys-M_at	8.2587	7.9757	7.335	6.9521	8.0237	7.6661	8.009	8.4554	7.3845	7.5104	6.7428	7.1995	7.917	7.8045	7.5499	7.7279	7.3687	7.1662	6.7327	7.0954		
AFFX-r2-Bs-phe-3_at	9.6256	9.4408	9.2404	8.6773	9.3395	8.969	9.4834	10.0824	8.7854	9.089	8.462	8.2747	9.1299	8.7455	9.3255	8.7734	8.7546	8.3385	8.8144	8.3894		
AFFX-r2-Bs-phe-5_at	8.8952	9.0453	7.5108	8.4704	9.4145	8.7882	9.1542	9.7715	8.249	8.8029	8.2621	8.334	8.7629	8.5932	9.0443	7.839	8.3688	7.8972	7.5623	7.4605		
AFFX-r2-Bs-phe-M_at	9.0568	8.5974	7.6757	8.2223	8.6937	8.0389	8.8238	9.5411	7.9774	8.2607	7.7472	7.7179	8.5907	8.4773	8.5243	7.7556	7.7118	7.5063	7.518	7.5604		
AFFX-r2-Bs-thr-3_s_at	10.6271	10.6563	10.378	9.6512	10.4673	9.8249	10.6477	11.2036	9.7322	10.1933	9.77	9.4273	10.2235	9.8285	10.1223	9.5482	9.956	9.4654	9.4815	9.6231		
